,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
45,Hyundai,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
46,Hyundai,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
47,Maruti,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000
48,Hyundai,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
49,Hyundai,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000
50,Hyundai,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
51,Mahindra,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000
52,Volkswagen,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
53,Mahindra,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000
54,Hyundai,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000
56,Hyundai,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000
57,Ford,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
58,Maruti,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
59,Hyundai,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000
60,Ford,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
61,Honda,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000
62,Maruti,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000
63,Maruti,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000
64,Honda,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
65,Renault,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
66,Maruti,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
67,Ford,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
68,Hyundai,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
69,Tata,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000
70,Hyundai,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
71,Mahindra,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000
72,Volkswagen,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000
73,Maruti,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
74,Honda,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
75,Kia,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
76,Maruti,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
78,Maruti,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
79,Ford,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
80,Maruti,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
81,Maruti,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
82,Volkswagen,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
83,Hyundai,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
84,Hyundai,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
85,Hyundai,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
86,Maruti,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
87,Ford,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
88,Hyundai,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
89,Renault,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
90,Maruti,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
91,Maruti,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
92,Maruti,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
93,Hyundai,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
94,Hyundai,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
95,Maruti,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
96,Hyundai,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
97,Hyundai,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
98,Maruti,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
99,Maruti,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000
100,Maruti,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
101,Mahindra,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
102,Hyundai,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
103,Datsun,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
104,Mahindra,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000
105,Datsun,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000
106,Maruti,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
107,Hyundai,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
108,Maruti,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000
109,Maruti,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
110,Ford,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000
111,Hyundai,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000
112,Honda,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
113,Maruti,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
114,Mahindra,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
115,Ford,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000
116,Maruti,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
117,Maruti,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
118,Honda,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
119,Volkswagen,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
120,Hyundai,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
121,Honda,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
122,Honda,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
123,Mahindra,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000
124,Datsun,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000
125,Renault,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
126,Honda,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
127,Maruti,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
128,Hyundai,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
129,Hyundai,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
130,Maruti,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
131,Kia,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
132,Maruti,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
133,Hyundai,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000
134,Maruti,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
135,Tata,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000
136,Hyundai,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
137,Honda,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000
138,Audi,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
139,Ford,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000
140,Maruti,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
141,Maruti,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
142,Tata,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000
143,Maruti,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
144,Maruti,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000
145,Kia,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000
146,Maruti,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
147,Maruti,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
148,Maruti,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
149,Hyundai,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
151,Maruti,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
152,Maruti,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
153,Hyundai,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
154,Maruti,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
155,Ford,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000
156,Tata,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000
157,Ford,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000
159,Hyundai,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
160,Maruti,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
161,Maruti,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
162,Hyundai,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
163,Ford,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
164,Maruti,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
165,Honda,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
166,Hyundai,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
167,Maruti,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
168,Tata,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000
169,Honda,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000
170,Honda,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
171,Hyundai,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
172,Renault,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000
173,Maruti,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
174,Datsun,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
175,Hyundai,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
176,Maruti,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
177,Honda,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
178,Maruti,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
179,Maruti,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
180,Maruti,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
181,Maruti,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
182,Honda,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
183,Renault,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
184,Hyundai,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
185,Mahindra,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
186,Maruti,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
187,Maruti,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
188,Hyundai,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
189,Mahindra,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000
191,Honda,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
192,Hyundai,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
193,Maruti,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000
195,Renault,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
196,Tata,4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,370000
197,Maruti,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
198,Renault,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
199,Ford,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
200,Ford,6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,390000
201,Mahindra,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000
202,Mahindra,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
203,Hyundai,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
204,Mahindra,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000
205,Maruti,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
206,Honda,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000
207,Maruti,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
208,Volkswagen,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
209,Tata,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
210,Hyundai,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
211,Ford,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
212,Hyundai,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
213,Hyundai,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
215,Hyundai,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000
216,Volkswagen,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
217,Hyundai,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
218,Maruti,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
219,Renault,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
220,Honda,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
221,Renault,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
222,Maruti,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
223,Hyundai,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
224,Hyundai,2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,985000
225,Maruti,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
226,Tata,4,24800,Individual,Petrol,Manual,23.84,1199,84.0,5,335000
227,Maruti,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
228,Honda,3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,740000
229,Maruti,8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000
230,Maruti,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
231,Maruti,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
232,Mahindra,5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,310000
233,Mahindra,4,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,850000
234,Hyundai,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
235,Maruti,7,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,450000
236,Hyundai,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
237,Mahindra,4,30000,Individual,Diesel,Manual,15.4,1997,120.0,7,1080000
238,Honda,7,66100,Dealer,Diesel,Manual,26.0,1498,98.6,5,530000
239,Maruti,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
240,Mahindra,4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
241,Hyundai,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
242,Hyundai,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
243,Maruti,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
244,Maruti,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
245,Maruti,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
246,Maruti,3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,730000
247,Hyundai,5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000
248,Maruti,4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000
249,Maruti,4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,620000
250,Hyundai,8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,510000
251,Maruti,8,20000,Individual,Petrol,Manual,15.37,1196,73.0,5,375000
252,Maruti,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,620000
253,Toyota,4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
254,Honda,5,40000,Individual,Petrol,Automatic,18.0,1497,117.3,5,845000
255,Maruti,7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
256,Honda,6,59000,Dealer,Petrol,Manual,18.0,1198,86.7,5,395000
257,Hyundai,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
259,Hyundai,8,61000,Dealer,Petrol,Manual,18.9,1197,82.0,5,325000
260,Mahindra,5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,350000
261,Mahindra,8,63000,Dealer,Diesel,Manual,15.1,2179,140.0,7,650000
262,Maruti,4,22000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
263,Honda,11,57977,Dealer,Petrol,Manual,17.0,1497,118.0,5,299000
264,Maruti,7,48242,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000
265,Ford,9,68000,Dealer,Diesel,Manual,20.0,1399,68.05,5,169000
266,Maruti,7,40000,Individual,Diesel,Manual,20.77,1248,88.8,7,500000
267,Maruti,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
268,Maruti,3,80000,Individual,Petrol,Automatic,20.51,998,67.0,5,400000
269,Hyundai,1,1000,Dealer,Petrol,Automatic,20.3,1086,68.0,5,565000
270,Maruti,6,20292,Dealer,Petrol,Manual,20.51,998,67.04,5,335000
271,Mahindra,11,67900,Dealer,Diesel,Manual,12.05,2179,120.0,7,300000
272,Mahindra,6,40000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000
273,Hyundai,4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5,510000
274,Renault,3,25000,Individual,Petrol,Automatic,24.04,999,67.0,5,370000
275,Maruti,15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
276,Maruti,3,21000,Individual,Diesel,Manual,27.39,1248,74.0,5,625000
277,Mahindra,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1290000
278,Hyundai,4,30000,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000
279,Hyundai,9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
280,Maruti,4,5743,Trustmark Dealer,Petrol,Manual,20.4,1197,83.11,5,500000
281,Hyundai,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
282,Maruti,4,57000,Individual,Diesel,Manual,27.39,1248,74.0,5,590000
283,Hyundai,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
284,Datsun,4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,500000
285,Maruti,4,10000,Individual,Petrol,Manual,23.1,998,67.04,5,450000
286,Mahindra,6,100000,Individual,Diesel,Manual,15.1,2179,140.0,7,650000
287,Maruti,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
288,Maruti,12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
289,Honda,8,64000,Dealer,CNG,Manual,18.0,1198,86.7,5,349000
290,Maruti,7,30000,Individual,Petrol,Manual,20.51,998,67.06,5,325000
291,Honda,7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
292,Honda,4,32226,Dealer,Petrol,Manual,17.8,1497,117.3,5,755000
293,Maruti,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,245000
294,Kia,2,14000,Dealer,Diesel,Manual,20.8,1493,113.4,5,1350000
295,Renault,3,15000,Individual,Petrol,Automatic,24.04,999,67.0,5,310000
296,Maruti,3,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,675000
297,Maruti,2,30000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
298,Hyundai,11,25000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
299,Mahindra,5,35000,Individual,Diesel,Automatic,15.4,2179,120.0,7,1450000
300,Mahindra,8,140000,Individual,Diesel,Manual,12.05,2179,120.0,8,530000
301,Ford,7,65597,Trustmark Dealer,Diesel,Manual,22.7,1498,89.84,5,575000
302,Hyundai,4,35000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
303,Maruti,1,7124,Individual,Petrol,Manual,21.01,1197,81.8,5,643000
304,Ford,2,15000,Individual,Petrol,Manual,18.1,999,123.24,5,1000000
305,Hyundai,5,34000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
306,Tata,3,40000,Individual,Petrol,Manual,20.3,1199,84.0,5,470000
307,Honda,7,77000,Dealer,Diesel,Manual,26.0,1498,98.6,5,525000
308,Datsun,4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,469000
309,Maruti,9,60000,Individual,Petrol,Manual,20.92,998,67.1,5,210000
310,Maruti,8,120000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
311,Renault,2,2500,Individual,Petrol,Manual,23.01,999,67.0,5,400000
312,Maruti,5,46500,Individual,Petrol,Manual,23.1,998,67.04,5,340000
313,Maruti,16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
314,Maruti,9,68000,Individual,Diesel,Manual,22.9,1248,74.0,5,381000
315,Maruti,4,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
316,Maruti,4,106000,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
317,Honda,6,28000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,670000
318,Mahindra,3,50000,Individual,Diesel,Manual,16.0,2179,140.0,7,1050000
319,Honda,10,55000,Dealer,Petrol,Manual,17.0,1497,118.0,5,360000
320,Ford,4,53000,Individual,Diesel,Manual,25.83,1498,99.0,5,400000
321,Hyundai,7,89000,Dealer,Diesel,Manual,22.32,1582,126.32,5,470000
322,Maruti,3,22000,Individual,Petrol,Manual,24.7,796,47.3,5,304000
323,Honda,7,69000,Dealer,Diesel,Manual,26.0,1498,98.6,5,490000
324,Mahindra,8,85000,Dealer,Diesel,Manual,16.0,2179,140.0,7,480000
325,Maruti,2,3600,Dealer,Petrol,Automatic,20.52,1197,81.8,5,575000
326,Maruti,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
329,Maruti,2,44000,Individual,Diesel,Manual,28.4,1248,74.0,5,800000
330,Maruti,3,10000,Individual,Petrol,Automatic,21.4,1197,83.1,5,680000
331,Ford,2,22346,Dealer,Petrol,Manual,17.0,1497,121.36,5,955000
332,Hyundai,9,120000,Individual,Diesel,Manual,21.9,1396,90.0,5,350000
333,Maruti,1,1000,Dealer,Petrol,Manual,17.03,1462,103.26,5,800000
334,Maruti,16,56700,Individual,Petrol,Manual,19.7,796,46.3,5,75000
335,Mahindra,2,60000,Individual,Diesel,Manual,17.3,1497,121.0,8,1476000
336,Honda,3,40000,Dealer,Petrol,Automatic,18.2,1199,88.7,5,670000
337,Maruti,9,28000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
338,Hyundai,4,35000,Individual,Petrol,Manual,18.9,1197,81.86,5,490000
339,Maruti,4,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000
340,Hyundai,7,40000,Individual,Petrol,Manual,20.36,1197,78.9,5,350000
341,Toyota,2,35000,Individual,Diesel,Manual,13.68,2393,147.8,8,1500000
342,Ford,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,190000
343,Renault,7,46500,Individual,Diesel,Manual,20.45,1461,83.8,5,460000
344,Maruti,2,8000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,650000
345,Maruti,5,120000,Individual,Diesel,Manual,28.09,1248,88.5,5,700000
